	URL	Nome
0	https://www.fut.gg/players/241667-aitana-bonmati/24-84127747/	Aitana Bonmati
1	https://www.fut.gg/players/231747-kylian-mbappe/24-134449475/	Kylian Mbappe
2	https://www.fut.gg/players/239085-erling-haaland/24-117679597/	Erling Haaland
3	https://www.fut.gg/players/227102-caroline-graham-hansen/24-84113182/	Caroline Graham Hansen
4	https://www.fut.gg/players/158023-lionel-messi/24-67266887/	Lionel Messi
5	https://www.fut.gg/players/248449-zinedine-zidane/24-50580097/	Zinedine Zidane
6	https://www.fut.gg/players/203376-virgil-van-dijk/24-117643888/	Virgil Van Dijk
7	https://www.fut.gg/players/227203-alexia-putellas/24-84113283/	Alexia Putellas
8	https://www.fut.gg/players/192985-kevin-de-bruyne/24-84079065/	Kevin De Bruyne
9	https://www.fut.gg/players/252371-jude-bellingham/24-117692883/	Jude Bellingham
10	https://www.fut.gg/players/227125-samantha-may-kerr/24-84113205/	Samantha May Kerr
11	https://www.fut.gg/players/237067-pele/24-50568715/	Pele
12	https://www.fut.gg/players/238395-ronaldinho/24-50570043/	Ronaldinho
13	https://www.fut.gg/players/20801-cristiano-ronaldo/24-83906881/	Cristiano Ronaldo
14	https://www.fut.gg/players/226302-alexandra-popp/24-67335166/	Alexandra Popp
15	https://www.fut.gg/players/227316-wendie-renard/24-100890612/	Wendie Renard
16	https://www.fut.gg/players/253436-ona-batlle/24-50585084/	Ona Batlle
17	https://www.fut.gg/players/212831-alisson/24-67321695/	Alisson
18	https://www.fut.gg/players/275243-mia-hamm/24-50606891/	Mia Hamm
19	https://www.fut.gg/players/239818-ruben-dias/24-67348682/	Ruben Dias
20	https://www.fut.gg/players/233662-sakina-karchaoui/24-84119742/	Sakina Karchaoui
21	https://www.fut.gg/players/231866-rodri/24-84117946/	Rodri
22	https://www.fut.gg/players/248717-lena-oberdorf/24-67357581/	Lena Oberdorf
23	https://www.fut.gg/players/264012-sophia-smith/24-67372876/	Sophia Smith
24	https://www.fut.gg/players/37576-ronaldo/24-50369224/	Ronaldo
25	https://www.fut.gg/players/1397-zinedine-zidane/24-50333045/	Zinedine Zidane
26	https://www.fut.gg/players/190045-johan-cruyff/24-50521693/	Johan Cruyff
27	https://www.fut.gg/players/237067-pele/24-237067/	Pele
28	https://www.fut.gg/players/214100-ruud-gullit/24-84100180/	Ruud Gullit
29	https://www.fut.gg/players/1625-thierry-henry/24-83887705/	Thierry Henry
30	https://www.fut.gg/players/1625-thierry-henry/24-67110489/	Thierry Henry
31	https://www.fut.gg/players/158023-lionel-messi/24-84044103/	Lionel Messi
32	https://www.fut.gg/players/1109-paolo-maldini/24-50332757/	Paolo Maldini
33	https://www.fut.gg/players/253149-jeremie-frimpong/24-134470877/	Jeremie Frimpong
34	https://www.fut.gg/players/232656-theo-hernandez/24-100895952/	Theo Hernandez
35	https://www.fut.gg/players/238257-millie-bright/24-67347121/	Millie Bright
36	https://www.fut.gg/players/247504-mary-earps/24-50579152/	Mary Earps
37	https://www.fut.gg/players/239085-erling-haaland/24-100902381/	Erling Haaland
38	https://www.fut.gg/players/254642-ferenc-puskas/24-50586290/	Ferenc Puskas
39	https://www.fut.gg/players/190048-gerd-muller/24-50521696/	Gerd Muller
40	https://www.fut.gg/players/28130-ronaldinho/24-50359778/	Ronaldinho
41	https://www.fut.gg/players/188545-robert-lewandowski/24-67297409/	Robert Lewandowski
42	https://www.fut.gg/players/239085-erling-haaland/24-50570733/	Erling Haaland
43	https://www.fut.gg/players/37576-ronaldo/24-37576/	Ronaldo
44	https://www.fut.gg/players/1397-zinedine-zidane/24-1397/	Zinedine Zidane
45	https://www.fut.gg/players/238388-dennis-bergkamp/24-84124468/	Dennis Bergkamp
46	https://www.fut.gg/players/167135-carlos-alberto/24-50498783/	Carlos Alberto
47	https://www.fut.gg/players/167135-carlos-alberto/24-67275999/	Carlos Alberto
48	https://www.fut.gg/players/238388-dennis-bergkamp/24-67347252/	Dennis Bergkamp
49	https://www.fut.gg/players/165153-karim-benzema/24-84051233/	Karim Benzema
50	https://www.fut.gg/players/165153-karim-benzema/24-100828449/	Karim Benzema
51	https://www.fut.gg/players/226301-morgan/24-84112381/	Morgan
52	https://www.fut.gg/players/192985-kevin-de-bruyne/24-100856281/	Kevin De Bruyne
53	https://www.fut.gg/players/202126-harry-kane/24-134419854/	Harry Kane
54	https://www.fut.gg/players/5454-bixente-lizarazu/24-67114318/	Bixente Lizarazu
55	https://www.fut.gg/players/166691-zico/24-67275555/	Zico
56	https://www.fut.gg/players/239085-erling-haaland/24-134456813/	Erling Haaland
57	https://www.fut.gg/players/241721-rafael-leao/24-100905017/	Rafael Leao
58	https://www.fut.gg/players/177003-luka-modric/24-84063083/	Luka Modric
59	https://www.fut.gg/players/202126-harry-kane/24-117642638/	Harry Kane
60	https://www.fut.gg/players/238435-lothar-matthaus/24-50570083/	Lothar Matthaus
61	https://www.fut.gg/players/7289-rio-ferdinand/24-50338937/	Rio Ferdinand
62	https://www.fut.gg/players/227006-homare-sawa/24-50558654/	Homare Sawa
63	https://www.fut.gg/players/238427-patrick-vieira/24-50570075/	Patrick Vieira
64	https://www.fut.gg/players/226764-george-best/24-50558412/	George Best
65	https://www.fut.gg/players/48940-petr-cech/24-50380588/	Petr Cech
66	https://www.fut.gg/players/212198-bruno-fernandes/24-84098278/	Bruno Fernandes
67	https://www.fut.gg/players/190871-neymar-jr/24-117631383/	Neymar Jr
68	https://www.fut.gg/players/190871-neymar-jr/24-84076951/	Neymar Jr
69	https://www.fut.gg/players/247553-garrincha/24-50579201/	Garrincha
70	https://www.fut.gg/players/238380-lev-yashin/24-50570028/	Lev Yashin
71	https://www.fut.gg/players/231747-kylian-mbappe/24-117672259/	Kylian Mbappe
72	https://www.fut.gg/players/231747-kylian-mbappe/24-100895043/	Kylian Mbappe
73	https://www.fut.gg/players/202126-harry-kane/24-100865422/	Harry Kane
74	https://www.fut.gg/players/238439-paolo-maldini/24-50570087/	Paolo Maldini
75	https://www.fut.gg/players/1625-thierry-henry/24-50333273/	Thierry Henry
76	https://www.fut.gg/players/177003-luka-modric/24-50508651/	Luka Modric
77	https://www.fut.gg/players/190045-johan-cruyff/24-190045/	Johan Cruyff
78	https://www.fut.gg/players/28130-ronaldinho/24-28130/	Ronaldinho
79	https://www.fut.gg/players/275243-mia-hamm/24-275243/	Mia Hamm
80	https://www.fut.gg/players/10264-ruud-van-nistelrooy/24-67119128/	Ruud Van Nistelrooy
81	https://www.fut.gg/players/51539-edwin-van-der-sar/24-67160403/	Edwin Van Der Sar
82	https://www.fut.gg/players/246669-bukayo-saka/24-117687181/	Bukayo Saka
83	https://www.fut.gg/players/246669-bukayo-saka/24-100909965/	Bukayo Saka
84	https://www.fut.gg/players/190046-socrates/24-50521694/	Socrates
85	https://www.fut.gg/players/266690-lucio/24-50598338/	Lucio
86	https://www.fut.gg/players/274750-wesley-sneijder/24-67383614/	Wesley Sneijder
87	https://www.fut.gg/players/234378-declan-rice/24-84120458/	Declan Rice
88	https://www.fut.gg/players/188545-robert-lewandowski/24-84074625/	Robert Lewandowski
89	https://www.fut.gg/players/251483-vincent-kompany/24-67360347/	Vincent Kompany
90	https://www.fut.gg/players/274966-carlos-tevez/24-67383830/	Carlos Tevez
91	https://www.fut.gg/players/228618-ferland-mendy/24-84114698/	Ferland Mendy
92	https://www.fut.gg/players/243078-roberto-baggio/24-50574726/	Roberto Baggio
93	https://www.fut.gg/players/242951-rivaldo/24-50574599/	Rivaldo
94	https://www.fut.gg/players/237071-roberto-carlos/24-50568719/	Roberto Carlos
95	https://www.fut.gg/players/182521-toni-kroos/24-67291385/	Toni Kroos
96	https://www.fut.gg/players/251854-pedri/24-67360718/	Pedri
97	https://www.fut.gg/players/227102-caroline-graham-hansen/24-100890398/	Caroline Graham Hansen
98	https://www.fut.gg/players/238794-vinicius-jr/24-84124874/	Vinicius Jr
99	https://www.fut.gg/players/209331-mohamed-salah/24-151204275/	Mohamed Salah
100	https://www.fut.gg/players/227361-kadidiatou-diani/24-84113441/	Kadidiatou Diani
101	https://www.fut.gg/players/121939-philipp-lahm/24-50453587/	Philipp Lahm
